13	16
14	254
15	16
16	254
53	16
54	254
79	16
80	254
81	16
82	254
83	16
84	254
85	16
86	254
143	16
144	254
145	16
146	254
215	16
216	254
233	30
234	268
235	30
236	268
237	30
238	268
261	16
262	254
263	16
264	254
265	16
266	254
267	16
268	254
269	16
270	254
271	16
272	254
273	16
274	254
275	16
276	254
277	16
278	254
281	16
282	254
283	16
284	254
285	16
286	254
287	16
288	254
289	254
290	16
291	16
292	254
303	16
304	254
305	16
306	254
309	16
310	254
321	16
322	254
323	16
324	254
325	16
326	254
327	16
328	254
329	16
330	254
341	16
342	254
343	16
344	254
349	30
350	268
351	30
352	268
359	30
360	268
365	30
366	268
471	16
472	254
517	30
518	268
519	30
520	268
555	30
556	268
557	30
558	268
559	30
560	268
561	30
562	268
565	30
566	268
577	16
578	254
579	16
580	254
583	30
584	268
585	254
586	16
587	16
588	254
589	100
590	338
591	30
592	268
593	30
594	268
595	30
596	268
597	30
598	268
599	30
600	268
601	30
602	268
603	30
604	268
605	30
606	268
607	30
608	268
613	30
614	268
617	30
618	268
621	30
622	268
623	30
624	268
625	30
626	268
629	30
630	268
631	30
632	268
633	30
634	268
635	30
636	268
645	16
646	254
651	16
652	254
661	526
662	764
663	414
664	652
665	16
666	254
713	16
714	254
717	16
718	254
719	16
720	254
721	16
722	254
723	708
724	470
743	30
744	268
745	30
746	268
747	30
748	268
763	30
764	268
765	512
766	750
767	16
768	254
785	554
786	792
787	30
788	268
789	30
790	268
791	30
792	268
793	30
794	268
795	30
796	268
797	30
798	268
799	30
800	268
801	30
802	268
879	30
880	268
